fixed_vignette,polarity,trait,vignette,sentence,verb,verb_object,verb_and_object,valence,bagOfWords,Intent,Meaning,Context Meaning,score
You working with the less fortunate on a volunteer basis.,positive,charitable,Working with the less fortunate on a volunteer basis.,you working less fortunate volunteer basis,working,working you, ,5.05,to make a living,"[['none'], ['helpful'], ['help'], ['a', 'good', 'friend'], ['nice'], ['help', 'someone'], ['kind'], ['help', 'persony'], ['have', 'a', 'good', 'time'], ['make', 'persony', 'happy']]","['soldier', 'fortune', 'underprivileged', 'mercy', 'powerless', 'sleep', 'oblige', 'obliged', 'choice', 'parttime', 'efficient', 'owe', 'miracle', 'dispensation', 'freedom', 'outrage', 'waiver', 'good', 'adoption', 'impulse', 'acy', 'necessity', 'sct', 'work', 'noblesse oblige', 'descend', 'unfortunate', 'charity', 'tragic', 'disadvantaged', 'unlucky', 'hypothesis', 'part-time', 'party', 'lathe', 'ratting', 'candy', 'bottom', 'alms', 'association', 'immunity', 'virtuous', 'trance', 'voluntary', 'help', 'cadet', 'offer', 'special', 'territorial', 'assist', 'line', 'default', 'exemption', 'reminiscence', 'trespass', 'trespassing', 'use', 'start', 'used', 'duty', 'allurement', 'concession', 'kindness', 'practical', 'condition', 'move', 'actively', 'power', 'short-term', 'exercise', 'perform', 'affiliation', 'need', 'obligation', 'lie', 'lies', 'lir', 'reason', 'reasoned', 'supporting', 'allegiance', 'prompt', 'extenuation', 'bribe', 'bribing', 'condescension', 'contravention', 'demit', 'malfeasance', 'manslaughter', 'miscarriage', 'nonfeasance', 'obligate', 'present', 'quasi', 'suggest', 'suggestibility', 'suggesting', 'suggestively', 'unilateral']","{'working with the less': ['fortune', 'lathe', 'parttime', 'ratting', 'part-time', 'candy', 'adverse', 'better', 'bottom', 'brake', 'clear', 'cleared', 'complement', 'conversion', 'crip', 'develop', 'diaphragm', 'die', 'dir', 'down', 'drift', 'evolution', 'fit', 'foot', 'gang', 'give', 'good', 'group', 'hard', 'head', 'heads', 'heat', 'joint', 'lead', 'let', 'lets', 'letting', 'line', 'loose', 'mean', 'model', 'movement', 'off', 'order', 'part', 'passive', 'patt', 'peak', 'performance', 'plane']}",0.67
You mentoring children.,positive,charitable,Mentoring children.,you mentoring children,mentoring,mentoring you, ,7.05,the children to be healthy,"[['none'], ['a', 'good', 'friend'], ['have', 'fun'], ['a', 'friend'], ['mean'], ['help'], ['have', 'a', 'good', 'time'], ['a', 'good', 'person'], ['a', 'good', 'friend', '.'], ['get', 'a', 'good', 'time']]","['monitoring', 'aftercare', 'aliment', 'babysit', 'bob', 'bonnet', 'bus', 'camp', 'carry', 'charge', 'charged', 'charging', 'check', 'child support', 'childcare', 'class', 'cradle', 'custody', 'daughter', 'day care', 'day care center', 'day nursery', 'daycare', 'depend', 'dependent', 'discipline', 'disciplined', 'dodge', 'domestic relations court', 'draw', 'drive', 'educate', 'form', 'free', 'genetic counseling', 'girl', 'go-cart', 'governess', 'grade', 'guardian', 'homeschooling', 'house', 'housemother', 'kindergarten', 'labour', 'lewis', 'lower', 'maintenance', 'mind', 'mindfulness', 'montessori method', 'nanny', 'nonsupport', 'nurse', 'page', 'parent', 'parenting', 'parity', 'pedagogue', 'potty', 'pupil', 'raise', 'ravishment', 'roundabout', 'scant', 'school', 'schooling', 'seesaw', 'stir', 'stock', 'stocked', 'stocks', 'sunday school', 'teach', 'train', 'transition', 'troop', 'trooping', 'troops', 'tuition', 'upbringing', 'vagrant', 'ward', 'checking', 'child guidance', 'child welfare agency', 'child welfare service', 'climbing frame', 'concubinage', 'condition', 'conditions', 'gocart', 'orff', 'trained', 'wild', 'abcs', 'academe', 'academy', 'accessions', 'accommodation']","{'You children .': ['abduction', 'adopt', 'adoption', 'babies', 'beau', 'boys', 'burden', 'burdens', 'child', 'childbearing', 'childcare', 'childhood', 'custody', 'daughters', 'descendants', 'exploitation', 'families', 'family', 'female', 'girl', 'girls', 'governess', 'guys', 'infancy', 'infant', 'infants', 'issue', 'juvenile', 'juveniles', 'kid', 'kids', 'male', 'many', 'minor', 'minors', 'offspring', 'parents', 'play', 'protection', 'pupils', 'recruitment', 'school', 'schoolchildren', 'small', 'sons', 'spanking', 'students', 'them', 'they', 'those']}",0.69
You enduring some sort of short term pain in order to help another.,positive,charitable,Enduring some sort of short term pain in order to help another.,you enduring sort short term pain order help another,enduring,enduring you, ,6.67,to relax,"[['none'], ['happy'], ['mean'], ['healthy'], ['have', 'fun'], ['do', 'well'], ['a', 'good', 'friend'], ['have', 'a', 'good', 'time'], ['do', 'something', 'else'], ['a', 'good', 'person']]","['pity', 'relieve', 'torture', 'shorts', 'serve', 'dependent', 'burn', 'split', 'bear', 'love', 'splitting', 'support', 'stop', 'anon', 'give', 'bill', 'lease', 'family', 'deposit', 'dependence', 'depositing', 'depositional', 'relieved', 'commute', 'follow', 'put', 'law', 'offset', 'sealed', 'draft', 'tortured', 'torturing', 'exchange', 'pamphlet', 'masochism', 'easement', 'back', 'send', 'dead', 'rehearsal', 'splits', 'passing', 'alleviate', 'toggle', 'lift', 'comfort', 'comforted', 'comforts', 'confort', 'right of way', 'stops', 'march', 'luft', 'etc', 'society', 'aphorism', 'services', 'raise', 'handing', 'long', 'motion', 'teme', 'terms', 'addiction', 'stand', 'length', 'care', 'punishment', 'resolution', 'minister', 'dependency', 'ministering', 'gradation', 'hurt', 'cue', 'hand', 'brother', 'range', 'double', 'bond', 'resonance', 'paragraph', 'gain', 'elder', 'succession', 'independent', 'foot', 'frog', 'command', 'relief', 'equal', 'rabbit', 'twitch', 'auxiliary', 'pilot', 'piloting', 'sting', 'push', 'privy', 'appeal']","{'enduring sort of short term': ['short-run', 'short-lived', 'ephemeral', 'interim financing', 'stop', 'stops', 'brief', 'rehearsal', 'paddling', 'brush', 'encounter', 'crip', 'bud', 'money', 'cob', 'cpb', 'poke', 'doc', 'shorts', 'float', 'acute', 'encountering', 'period', 'soon', 'spell', 'trench', 'ephemera', 'life', 'factor', 'liquid', 'rate', 'spout', 'spouted', 'spouting', 'transitory', 'fugacious', 'passing', 'temporal', 'transient', 'impulse', 'fund', 'grog', 'lease', 'capital structure', 'construction loan', 'temp', 'gilt-edged', 'bye', 'commercial lending', 'financial structure']}",0.74
You donating blood.,positive,charitable,Donating blood.,you donating blood,donating,donating you, ,,to be a good citizen,"[['none'], ['mean'], ['@@UNKNOWN@@'], ['a', 'good', 'friend'], ['have', 'fun'], ['help'], ['a', 'good', 'person'], ['have', 'a', 'good', 'time'], ['get', 'to', 'know', 'persony'], ['get', 'to', 'know', 'the', 'other', 'person']]","['donation', 'contributory', 'give', 'angel', 'aorta', 'apheresis', 'arm', 'autologous', 'bloodmobile', 'bloody', 'cornea', 'donate', 'donations', 'donor', 'draw', 'dry', 'foster', 'fostering', 'frank-marriage', 'gored', 'heterologous', 'level', 'malaria', 'mesoderm', 'pack', 'pheresis', 'placenta', 'plasmapheresis', 'pressor', 'sorta', 'sry', 'stent', 'supply', 'surrogate', 'transfusion', 'type', 'urine', 'vital', 'whole blood', 'abdication', 'bloodstone', 'exchange transfusion', 'lavish', 'lung', 'pint', 'plateletpheresis', 'recipient', 'ventilate', 'ventilated', 'very low density lipoprotein', 'vldl', '-or', 'above', 'accident insurance', 'accommodate', 'accommodating', 'acquirement', 'adam', 'advance', 'advancement', 'advancing', 'afflictive', 'afford', 'aid', 'aided', 'aif', 'altar', 'apollo', 'armor', 'assurance', 'atm', 'atonement', 'aud', 'balthasar', 'balthazar', 'beestings', 'benjamin', 'bigarade', 'bitter orange', 'bitter orange tree', 'blowjob', 'bouncing bess', 'bouncing bet', 'bounteous', 'bounty', 'by-line', 'candid', 'capital transfer tax', 'capo', 'casanova', 'caspar', 'cause', 'causing', 'cess', 'chameleon', 'charism', 'chord', 'christening', 'christmas', 'cilium']","{'You blood .': ['anaemia', 'baptism', 'bleeding', 'blooding', 'bloodshed', 'bloody', 'brother', 'corpuscle', 'death', 'donation', 'donor', 'donors', 'flesh', 'gore', 'kin', 'leukemia', 'line', 'lineage', 'man', 'plasma', 'pressure', 'red', 'sang', 'serum', 'spades', 'transfusion', 'vessels', '-emia', 'bad', 'bath', 'blooded', 'claret', 'clot', 'compatible', 'components', 'consistent', 'establishment', 'false vampire', 'flow', 'gangster', 'genetic', 'haemophilic', 'hemal', 'hematic', 'hemato-', 'hemic', 'hemo-', 'infectious mononucleosis', 'new', 'oink']}",0.84
You fixing a meal for someone you know is homeless.,positive,charitable,Fixing a meal for someone you know is homeless.,you fixing meal someone know homeless,fixing,fixing homeless, ,6.11,to release he feelings,"[['none'], ['happy'], ['a', 'good', 'friend'], ['help'], ['with', 'someone'], ['a', 'good', 'person'], ['have', 'a', 'good', 'time'], ['with', 'persony'], ['make', 'persony', 'happy'], ['have', 'a', 'child']]","['set', 'fic', 'fix', 'nomad', 'bed', 'loses', 'lose', 'bus', 'patch', 'det', 'house', 'point', 'sets', 'reduce', 'shingle', 'person', 'call', 'gammon', 'table', 'tables', 'key', 'keying', 'keys', 'roll', 'marshall', 'number', 'numbering', 'numbing', 'home', 'tramp', 'determination', 'pitch', 'tinker', 'establishment', 'bum', 'snub', 'sewer', 'experience', 'question', 'cut', 'snubbing', 'base', 'canteen', 'adam', 'asia', 'inhabit', 'ronin', 'dump', 'settle', 'settled', 'crib', 'family', 'load', 'setback', 'black', 'deposition', 'guide', 'guided', 'guiding', 'locate', 'reclaim', 'screen', 'tag', 'head', 'rafter', 'barricade', 'barricades', 'direct', 'economy', 'taboo', 'drift', 'drifting', 'formula', 'gang', 'pitched', 'mission', 'vagrant', 'newbie', 'tramping', 'stray', 'the', 'sick', 'place', 'crack', 'billet', 'eat', 'accommodate', 'collect', 'marshal', 'entertain', 'prince', 'plate', 'jack', 'break', 'service', 'services', 'servicing', 'bargain', 'bargaining', 'gun']","{'homeless fixing meal someone you': ['home', 'fic', 'fix', 'pitch', 'set', 'sewer', 'nomad', 'bed', 'loses', 'call', 'mission', 'crib', 'bus', 'mad', 'patch', 'black', 'det', 'house', 'lose', 'economy', 'nest', 'reduce', 'plate', 'break', 'gun', 'guns', 'jack', 'feed', 'board', 'scores', 'scoring', 'dish', 'table', 'tables', 'herd', 'packer', 'delectable', 'gaff', 'gammon', 'necessary', 'out', 'truss', 'blind', 'corner', 'cornering', 'decking', 'lead', 'lodgment', 'round', 'rounds']}",0.73
You giving someone part time work to get them on their feet.,positive,charitable,Giving someone part time work to get them on their feet.,you giving someone part time work get feet,giving,giving you, ,7.73,to be punctual,"[['none'], ['mean'], ['have', 'fun'], ['happy'], ['a', 'good', 'friend'], ['with', 'someone'], ['a', 'good', 'person'], ['hurt', 'the', 'other', 'person'], ['have', 'a', 'good', 'time'], ['make', 'a', 'good', 'impression']]","['knockout', 'dispose', 'delay', 'ground', 'beam', 'hand', 'foot', 'hold', 'gain', 'gaining', 'schedule', 'scheduled', 'scheduling', 'man', 'call', 'cycle', 'movement', 'man-hour', 'restored', 'journey', 'subcontract', 'introduction', 'telephone', 'bulk', 'warhorse', 'relation', 'yield', 'future', 'dance', 'leave', 'have', 'leaving', 'donation', 'day', 'give', 'cripple', 'book', 'act', 'fasting', 'return', 'returning', 'returns', 'passage', 'link', 'back', 'put', 'account', 'occasion', 'crown', 'piece', 'spring', 'face', 'linking', 'section', 'sectioned', 'sectioning', 'night', 'tail', 'cue', 'option', 'approach', 'bonnet', 'change', 'mak', 'tails', 'spend', 'leg', 'turn', 'old-timer', 'make', 'absorb', 'patt', 'adjunct', 'vacationer', 'copyright', 'retouch', 'retouching', 'casual labor', 'age', 'vacationist', 'dissection', 'guide', 'extension', 'guided', 'guiding', 'second', 'post', 'phase', 'shank', 'dock', 'pike', 'kiss', 'flower', 'neuter', 'kissing', 'quarter', 'past', 'deal', 'play', 'beginning']","{'giving work get on their': ['tattoo', 'trade', 'keep', 'strike', 'rot', 'malaria', 'variability', 'labour', 'tout', 'differential', 'checker', 'man', 'keeps', 'link motion', 'eot', 'galvanic', 'prometheus', 'rots', 'rotted', 'index', 'review', 'reviewing', 'dictionary', 'works', 'cooperation', 'dwell', 'adjustment', 'norma', 'onomasticon', 'vitiligo', 'indexed', 'indexing', 'engineer', 'fieldwork', 'job', 'labor', 'harmony', 'curling', 'sweat', 'team', 'assiduity', 'eating', 'employed', 'boast', 'boastfulness', 'hire', 'horae', 'horse', 'put', 'start']}",0.7
You running / walking for cancer research.,positive,charitable,Running / walking for cancer research.,you running walking cancer research,running,running you, ,6.53,to get home from work.,"[['none'], ['healthy'], ['have', 'fun'], ['a', 'good', 'friend'], ['have', 'a', 'good', 'time'], ['with', 'person'], ['in', 'a', 'relationship'], ['get', 'to', 'work'], ['have', 'a', 'good', 'time', '.'], ['get', 'to', 'a', 'party']]","['pace', 'legwork', 'stepping', 'steps', 'disease', 'institute', 'radium', 'beat', 'beats', 'trace', 'traces', 'walk', 'stumble', 'gait', 'metastasis', 'cure', 'dissipation', 'cursorial', 'diet', 'dieting', 'advanced', 'stumbling', 'water', 'step', 'tread', 'stride', 'aerobics', 'cancers', 'huggins', 'noteworthy', 'foot', 'footing', 'footstep', 'jets', 'locomotion', 'pedestrianism', 'race', 'tennessee walking horse', 'travel', 'traveling', 'travelled', 'travelling', 'treading', 'gradient', 'interfere', 'strides', 'striding', 'hoofbeat', 'light-heeled', 'thump', 'stage', 'staged', 'banquette', 'root', 'chemotherapy', 'how', 'bloodstream', 'gall', 'galled', 'gangrene', 'regimen', 'social disease', 'pioneer', 'stadium', 'through', 'whip', 'angiology', 'certificate', 'establish', 'foretelling', 'gestation', 'open-heart', 'physiopathology', 'prediction', 'prognosis', 'syphilis', 'veery', 'progress', 'clinical', 'search', 'blister', 'slump', 'acute', 'shock', 'cold', 'contact', 'facility', 'pestiferous', 'police', 'prospect', 'rally', 'sexed', 'work', 'correlation', 'leukemia', 'strike', 'goggle', 'goggles', 'operation', 'parallel']","{'running walking for cancer': ['stumble', 'pace', 'gait', 'cursorial', 'stumbling', 'step', 'stepping', 'steps', 'tread', 'stride', 'aerobics', 'beat', 'beats', 'foot', 'footing', 'footstep', 'jets', 'locomotion', 'pedestrianism', 'race', 'tennessee walking horse', 'trace', 'traces', 'travel', 'traveling', 'travelled', 'travelling', 'treading', 'walk', 'gradient', 'interfere', 'strides', 'striding', 'hoofbeat', 'light-heeled', 'thump', 'disease', 'banquette', 'legwork', 'cure', 'metastasis', 'bloodstream', 'control', 'controlled', 'controlling', 'dissipation', 'gall', 'galled', 'gangrene', 'regimen']}",0.68
You reading to the children at a library or hospital.,positive,charitable,Reading to the children at a library or hospital.,you reading children library hospital,reading,reading you, ,6.73,to do well on a test the next day.,"[['none'], ['help'], ['a', 'good', 'friend'], ['with', 'someone'], ['have', 'a', 'good', 'time'], ['a', 'good', 'person'], ['get', 'to', 'know', 'persony'], ['get', 'a', 'good', 'job'], ['get', 'to', 'know', 'them'], ['get', 'to', 'know', 'persony', ""'s"", 'friend']]","['charity', 'read', 'school', 'athenaeum', 'atheneum', 'mine', 'montessori method', 'reader', 'present', 'presented', 'calendar', 'journalism', 'university', 'librarian', 'list', 'cultivate', 'decentralize', 'decentralized', 'meteorite', 'number', 'numbering', 'numbing', 'admit', 'collect', 'collecting', 'study', 'studying', 'extension', 'charge', 'scores', 'student', 'newsroom', 'art', 'bar', 'booking', 'books', 'introduction', 'medical', 'primer', 'carrel', 'reading room', 'tome', 'secondary research', 'cambridge', 'xray', 'panopticon', 'storyteller', 'creche', 'foundling hospital', 'ward', 'orthopedical', 'gallery', 'circulating', 'latin quarter', 'left bank', 'ronin', 'discharge', 'discharged', 'discharging', 'stack', 'stacked', 'stacks', 'loan', 'enter', 'catalogue', 'documentation', 'law', 'readership', 'canon', 'collation', 'index', 'indexed', 'indexing', 'key', 'next', 'torah', 'campus', 'renewed', 'renewing', 'abilene', 'haworth', 'open', 'assembly', 'order', 'treatment', 'get', 'house', 'send', 'sending', 'museum', 'range', 'ranged', 'ranging', 'bibliography', 'collate', 'goosebumps', 'kipling', 'storybook', '-ana', 'atmospherics']","{'reading at a or hospital': ['xray', 'abc', 'eeg', 'scan', 'treatment', 'day room', 'ekg', 'parlor', 'attend', 'attending', 'den', 'examination', 'gradual', 'hear', 'keep', 'lamp', 'law', 'lecture', 'legend', 'library', 'loo', 'mind', 'minutes', 'oath', 'oyer', 'passage', 'perusal', 'perusing', 'pore', 'pulse', 'read', 'reader', 'readership', 'record', 'register', 'registered', 'review', 'reviewing', 'scanned', 'scanning', 'school', 'see', 'study', 'studying', 'take', 'watch', 'watching', 'berkshire', 'cancrine', 'gaol']}",0.7
You buying a homeless person lunch.,positive,charitable,Buying a homeless person lunch.,you buying homeless person lunch,buying,buying you, ,6.82,to eat,"[['none'], ['eat'], ['eat', 'lunch'], ['satisfy', 'hunger'], ['eat', 'food'], ['not', 'be', 'hungry'], ['satisfy', 'their', 'hunger'], ['have', 'a', 'good', 'time'], ['a', 'good', 'friend'], ['spend', 'time', 'with', 'persony']]","['market', 'bum', 'feed', 'lunchroom', 'home', 'forage', 'foraging', 'plate', 'take out', 'tip', 'coop', 'get', 'shelter', 'shop', 'hotel', 'bento', 'steward', 'out', 'bed', 'packer', 'console', 'fare', 'load', 'boarding', 'essen', 'draw', 'maid', 'serve', 'stand', 'inn', 'naafi', 'plaza', 'call', 'box', 'wth', 'for', 'ham', 'waif', 'derelict', 'hobo', 'tramp', 'manager', 'miss', 'missed', 'misses', 'force', 'placed', 'placing', 'type', 'break', 'desk', 'stray', 'displaced person', 'outcast', 'tramping', 'vagabond', 'vagrant', 'vagus', 'boycott', 'broker', 'coemption', 'credit', 'credited', 'credits', 'trader', 'champion', 'crusty', 'cataloguer', 'landshark', 'opinion leader', 'tipped', 'deli', 'badger', 'buy food', 'bag lady', 'sheltered', 'purveyance', 'preemption', 'scores', 'scoring', 'thrift institution', 'eat', 'treat', 'buy', 'factor', 'host', 'kook', 'look', 'looks', 'payola', 'poor', 'tag', 'condescending', 'dumping', 'flea', 'garage', 'garage sale', 'gentrification', 'porte-cochere', 'resale']","{'buying a homeless person': ['bum', 'tip', 'waif', 'derelict', 'hobo', 'tramp', 'stray', 'displaced person', 'outcast', 'tramping', 'vagabond', 'vagrant', 'vagus', 'boycott', 'broker', 'coemption', 'credit', 'credited', 'credits', 'trader', 'champion', 'crusty', 'cataloguer', 'landshark', 'opinion leader', 'tipped', 'home', 'bag lady', 'sheltered', 'coop', 'purveyance', 'market', 'preemption', 'scores', 'scoring', 'thrift institution', 'factor', 'host', 'kook', 'look', 'looks', 'payola', 'poor', 'tag', 'condescending', 'dumping', 'feed', 'flea', 'forage', 'foraging']}",0.74
You helping single mothers who want to study.,positive,charitable,Helping single mothers who want to study.,you helping single mothers want study,helping,helping you, ,6.95,to go to sleep,"[['none'], ['a', 'good', 'friend'], ['help'], ['have', 'a', 'good', 'time'], ['feel', 'good'], ['a', 'good', 'person'], ['make', 'a', 'good', 'impression'], ['make', 'persony', 'happy'], ['get', 'a', 'good', 'grade'], ['have', 'a', 'good', 'time', '.']]","['share', 'contributory', 'special', 'shared', 'sharing', 'standard', 'contribute', 'contributing', 'stocked', 'stocks', 'secretary', 'carry', 'float', 'supported', 'supporting', 'soil', 'stock', 'ease', 'nurse', 'sell', 'increment', 'side', 'unit', 'every', 'singling', 'push', 'parent', 'embryology', 'politician', 'unicef', 'lesson', 'fosterage', 'maintenance', 'staying', 'stays', 'caregiver', 'child', 'fostering', 'specialist', 'stay', 'transition', 'tree', 'diallel', 'cordon', 'treed', 'necessary', 'tithe', 'lizard', 'disallow', 'disallowed', 'underwrite', 'fund', 'headstock', 'stalk', 'stemmed', 'stemming', 'gene', 'root', 'stool', 'pore', 'biophysics', 'orphan', 'chart', 'girl', 'peduncle', 'heredity', 'capitulate', 'deliver', 'dependent', 'fosterling', 'home', 'ape', 'moms', 'mother', 'animate', 'sexism', 'issue', 'genetics', 'leaf', 'she', 'heap', 'maid', 'bed', 'bef', 'brd', 'roots', 'common', 'fish', 'corner', 'cornering', 'eat', 'pantheon', 'railway', 'buy', 'selling', 'generation', 'everyone', 'evolution', 'help', 'serve']","{'helping mothers want to': ['politician', 'unicef', 'share', 'social service', 'contributory', 'fosterage', 'maintenance', 'staying', 'stays', 'supply', 'caregiver', 'carry', 'child', 'contribute', 'contributing', 'fostering', 'indebted', 'provide', 'scant', 'secretary', 'send', 'sending', 'shared', 'sharing', 'special', 'standard', 'stay', 'stocked', 'stocks', 'vibe', 'vine', 'mama', 'mom', 'aliment', 'bowl', 'bowled', 'brassiere', 'bulb', 'corset', 'deliver', 'depend', 'dependent', 'ease', 'feminist', 'float', 'fosterling', 'fund', 'funds', 'gene', 'girdle']}",0.65
You trying hard to help a friend's friend that you even don't know.,positive,charitable,Trying hard to help a friend's friend that you even don't know.,you trying hard help friend friend even know,trying,trying you, ,,to be dependable,"[['none'], ['happy'], ['mean'], ['have', 'fun'], ['do', 'well'], ['a', 'good', 'friend'], ['have', 'a', 'good', 'time'], ['do', 'something', 'else'], ['make', 'a', 'good', 'impression'], ['do', 'something']]","['assist', 'assisting', 'helping', 'difficult', 'taff', 'care', 'caring', 'support', 'knowledge', 'lean', 'understand', 'overreach', 'jones', 'abandon', 'true', 'abandoning', 'nuts', 'friends', 'pitch', 'pitched', 'get', 'need', 'ice', 'mean', 'sport', 'call', 'come', 'square', 'tell', 'tried', 'catch', 'rival', 'experience', 'better', 'satire', 'keep', 'strike', 'just', 'will', 'test', 'vetter', 'convert', 'exrerience', 'cool', 'feels', 'geel', 'look', 'turn', 'turned', 'fall', 'break', 'mak', 'make', 'like', 'put', 'sports', 'run', 'play', 'dall', 'falls', 'another', 'boy', 'bad', 'dispensation', 'carry', 'kook', 'looks', 'owl', 'jack', 'present', 'presented', 'needing', 'nerd', 'hang', 'for', 'feel', 'awkward', 'bear', 'fines', 'ask', 'dating', 'hand', 'handing', 'close', 'back', 'error', 'good', 'canvass', 'canvasses', 'canvassing', 'essay', 'smart', 'jolt', 'jolted', 'jolting', 'line', 'keeps', 'trie', 'see', 'advantage']","{""trying help that you even do n't"": ['get', 'doing', 'assist', 'helping', 'assisting', 'skill', 'made', 'try', 'wanna', 'want', 'overreach', 'overreaching', 'making', 'come', 'quit', 'adware', 'rival', 'activism', 'purpose', 'mission', 'attempt', 'attempted', 'frame', 'wants', 'tried', 'duck', 'never', 'flight', 'benevolence', 'calculator', 'serve', 'profession', 'ducks', 'abet', 'done', 'make', 'offer', 'secretary', 'begin', 'morality', 'enhance', 'improve', 'move in', 'patient', 'sadhu', 'disservice', 'cigarette', 'narcolepsy', 'pitch', 'pitched']}",0.69
You lending a hand to a person with a flat tire.,positive,charitable,Lending a hand to a person with a flat tire.,you lending hand person flat tire,lending,lending you, ,4.95,to drive,"[['none'], ['have', 'fun'], ['a', 'good', 'friend'], ['mean'], ['have', 'a', 'good', 'time'], ['have', 'fun', '.'], ['make', 'a', 'good', 'impression'], ['get', 'to', 'a', 'party'], ['a', 'good', 'friend', '.'], ['get', 'to', 'the', 'hospital']]","['circulate', 'circulated', 'pass', 'passed', 'helping', 'give', 'wallet', 'that', 'air', 'here', 'assessment', 'asset', 'burn', 'discuss', 'policy', 'poll tax', 'ventilation', 'repo', 'espalier', 'plastic', 'catch', 'let', 'shell', 'release', 'machine', 'releasing', 'recap', 'pack', 'throw', 'lease', 'projection', 'return', 'credit', 'credits', 'barrel', 'barrelled', 'toss', 'returning', 'returns', 'hair', 'interest', 'clap', 'lay', 'cap', 'rubber', 'wear', 'harmonica', 'grip', 'gripping', 'card', 'roll', 'float', 'starter', 'this', 'table', 'inflation', 'entry', 'stake', 'shot', 'palm', 'washer', 'anchor', 'anchoring', 'touch', 'transfer', 'cards', 'loss', 'fan', 'fanned', 'fanning', 'staffing', 'stakes', 'staking', 'palette', 'test', 'private', 'tax', 'force', 'forces', 'handing', 'over', 'touched', 'left', 'tool', 'wave', 'helpful', 'money', 'slap', 'west', 'contra', 'tucker', 'umbrella', 'fiend', 'snowball', 'rates', 'apr', 'slapping', 'slaps', 'spank', 'upset']","{'lending with a flat': ['plicate', 'spread', 'rate', 'borrowing', 'discount', 'fnma', 'interest', 'library', 'loan', 'loaning', 'mortgagee', 'pawnbroker', 'rates', 'savings and loan association', 'bank', 'circulation', 'circulating library', 'aaa', 'abacus', 'accommodation', 'anvil', 'apartment', 'area', 'backboard', 'backing', 'barren', 'base', 'batten', 'biscuit', 'block', 'board', 'bones', 'buffet', 'building', 'cant', 'cap', 'card', 'cards', 'clap', 'clout', 'club', 'comb', 'combatively', 'combed', 'credenza', 'crown', 'crowning', 'curtain', 'dall', 'deck']}",0.69
